,time,open,high,low,close,tick_volume,spread,real_volume
0,2020-12-16 01:00:00,1.21489,1.2212399999999999,1.21249,1.21984,76468,0,0
1,2020-12-17 01:00:00,1.21985,1.22729,1.21897,1.22684,65915,0,0
2,2020-12-18 01:00:00,1.22676,1.22719,1.22256,1.22542,58548,0,0
3,2020-12-21 01:00:00,1.22166,1.22528,1.21296,1.22424,103141,0,0
4,2020-12-22 01:00:00,1.22434,1.22573,1.2152,1.21616,79150,0,0
5,2020-12-23 01:00:00,1.21618,1.22212,1.2154,1.2186,79543,0,0
6,2020-12-24 01:00:00,1.21857,1.22157,1.21774,1.21808,47758,0,0
7,2020-12-28 01:00:00,1.21696,1.22506,1.21696,1.2216,65208,0,0
8,2020-12-29 01:00:00,1.2216,1.22749,1.2207,1.22482,56037,0,0
9,2020-12-30 01:00:00,1.22471,1.23099,1.2247,1.22961,66896,0,0
10,2020-12-31 01:00:00,1.22963,1.23093,1.22127,1.22155,58559,0,0
11,2021-01-04 01:00:00,1.22395,1.23098,1.2227999999999999,1.22473,85620,0,0
12,2021-01-05 01:00:00,1.22466,1.23056,1.22432,1.22965,75380,0,0
13,2021-01-06 01:00:00,1.22968,1.23494,1.22657,1.23252,118259,0,0
14,2021-01-07 01:00:00,1.2325599999999999,1.23441,1.22452,1.2271,84749,0,0
15,2021-01-08 01:00:00,1.22713,1.22845,1.21932,1.22218,100138,0,0
16,2021-01-11 01:00:00,1.22116,1.22285,1.21323,1.21497,79581,0,0
17,2021-01-12 01:00:00,1.21498,1.2209699999999999,1.21372,1.22062,70628,0,0
18,2021-01-13 01:00:00,1.22064,1.22229,1.21399,1.21568,70247,0,0
19,2021-01-14 01:00:00,1.21568,1.21784,1.21112,1.2154,82002,0,0
20,2021-01-15 01:00:00,1.21537,1.21625,1.2075,1.20766,71372,0,0
21,2021-01-18 01:00:00,1.20813,1.20867,1.20536,1.20757,51965,0,0
22,2021-01-19 01:00:00,1.20768,1.21449,1.20739,1.21284,59302,0,0
23,2021-01-20 01:00:00,1.21281,1.21582,1.20767,1.21046,63393,0,0
24,2021-01-21 01:00:00,1.2104300000000001,1.21732,1.21022,1.2164,65018,0,0
25,2021-01-22 01:00:00,1.21586,1.21894,1.21515,1.21704,57094,0,0
26,2021-01-25 01:00:00,1.21704,1.21833,1.2116,1.21413,54371,0,0
27,2021-01-26 01:00:00,1.21371,1.2176,1.21078,1.2159200000000001,51913,0,0
28,2021-01-27 01:00:00,1.21598,1.21696,1.20586,1.21096,74814,0,0
29,2021-01-28 01:00:00,1.21086,1.21421,1.20805,1.2121,76561,0,0
30,2021-01-29 01:00:00,1.21209,1.21558,1.20944,1.21353,75639,0,0
31,2021-02-01 01:00:00,1.21301,1.21364,1.20562,1.20594,63743,0,0
32,2021-02-02 01:00:00,1.20594,1.20876,1.20117,1.20428,58989,0,0
33,2021-02-03 01:00:00,1.20423,1.205,1.20042,1.20351,49377,0,0
34,2021-02-04 01:00:00,1.20349,1.20428,1.19574,1.1962,51807,0,0
35,2021-02-05 01:00:00,1.19618,1.20498,1.19522,1.20492,67841,0,0
36,2021-02-08 01:00:00,1.20426,1.20661,1.20197,1.20493,59895,0,0
37,2021-02-09 01:00:00,1.20493,1.21221,1.20472,1.21174,64758,0,0
38,2021-02-10 01:00:00,1.21173,1.2144,1.21088,1.21172,48674,0,0
39,2021-02-11 01:00:00,1.21172,1.21493,1.21135,1.21303,46803,0,0
40,2021-02-12 01:00:00,1.21303,1.21349,1.20815,1.21189,55276,1,0
41,2021-02-15 01:00:00,1.2124,1.21452,1.21167,1.21274,39844,0,0
42,2021-02-16 01:00:00,1.21271,1.21694,1.20949,1.2105299999999999,63015,1,0
43,2021-02-17 01:00:00,1.21047,1.21089,1.20234,1.20374,69997,1,0
44,2021-02-18 01:00:00,1.20351,1.20944,1.2035,1.20908,60510,1,0
45,2021-02-19 01:00:00,1.20908,1.2144300000000001,1.20823,1.21174,59796,1,0
46,2021-02-22 01:00:00,1.21131,1.21694,1.20912,1.21554,66651,1,0
47,2021-02-23 01:00:00,1.21564,1.21802,1.21353,1.21493,64676,1,0
48,2021-02-24 01:00:00,1.21493,1.21745,1.21092,1.21665,83207,1,0
49,2021-02-25 01:00:00,1.21637,1.22432,1.2156,1.21743,106775,1,0
50,2021-02-26 01:00:00,1.2173,1.21828,1.20622,1.20727,129271,1,0
51,2021-03-01 01:00:00,1.20688,1.21012,1.20278,1.20488,83306,1,0
52,2021-03-02 01:00:00,1.20488,1.20944,1.19915,1.20893,80054,1,0
53,2021-03-03 01:00:00,1.20898,1.21132,1.20429,1.20627,71671,0,0
54,2021-03-04 01:00:00,1.20627,1.20662,1.19616,1.1969400000000001,93524,1,0
55,2021-03-05 01:00:00,1.1968,1.19767,1.1892800000000001,1.1912,96968,1,0
56,2021-03-08 01:00:00,1.19166,1.19321,1.18442,1.1846,100880,1,0
57,2021-03-09 01:00:00,1.18456,1.19157,1.18356,1.19001,94052,1,0
58,2021-03-10 01:00:00,1.19002,1.19298,1.18687,1.19284,87767,1,0
59,2021-03-11 01:00:00,1.19283,1.199,1.19158,1.19851,86008,1,0
60,2021-03-12 01:00:00,1.1985000000000001,1.19886,1.19098,1.19519,83666,1,0
61,2021-03-15 01:00:00,1.19473,1.19674,1.1911100000000001,1.19275,63639,1,0
62,2021-03-16 01:00:00,1.19282,1.19519,1.18825,1.19028,47859,50,0
63,2021-03-17 01:00:00,1.19018,1.19854,1.18863,1.19809,46122,50,0
64,2021-03-18 01:00:00,1.19779,1.19889,1.19064,1.19176,58721,50,0
65,2021-03-19 01:00:00,1.19129,1.19371,1.18741,1.19046,46496,50,0
66,2021-03-22 01:00:00,1.18772,1.19467,1.18724,1.19347,40774,50,0
67,2021-03-23 01:00:00,1.19325,1.19407,1.18422,1.18486,44573,50,0
68,2021-03-24 01:00:00,1.18493,1.18532,1.18099,1.18105,47381,50,0
69,2021-03-25 01:00:00,1.18131,1.18278,1.17618,1.17652,49106,50,0
70,2021-03-26 01:00:00,1.17643,1.18049,1.17642,1.17935,38439,50,0
71,2021-03-29 02:00:00,1.1792,1.17937,1.17607,1.17647,42300,2,0
72,2021-03-30 02:00:00,1.17635,1.17737,1.17115,1.17176,33355,2,0
73,2021-03-31 02:00:00,1.17169,1.17597,1.1703999999999999,1.17292,35942,2,0
74,2021-04-01 02:00:00,1.173,1.17798,1.17129,1.17768,36733,2,0
75,2021-04-02 02:00:00,1.1776,1.17864,1.1749,1.1761300000000001,15640,2,0
76,2021-04-05 02:00:00,1.1757,1.18194,1.17378,1.1812,22309,2,0
77,2021-04-06 02:00:00,1.18126,1.18775,1.17953,1.18742,35777,2,0
78,2021-04-07 02:00:00,1.18736,1.19146,1.18609,1.187,39072,2,0
79,2021-04-08 02:00:00,1.18656,1.19271,1.18607,1.19158,32762,2,0
80,2021-04-09 02:00:00,1.19112,1.192,1.18672,1.19008,33171,2,0
81,2021-04-12 02:00:00,1.18905,1.1919,1.18711,1.19102,33217,2,0
82,2021-04-13 02:00:00,1.19101,1.19557,1.1879,1.19491,39840,2,0
83,2021-04-14 02:00:00,1.19481,1.19873,1.1945999999999999,1.19807,34725,2,0
84,2021-04-15 02:00:00,1.19793,1.19932,1.1956,1.19658,34553,2,0
85,2021-04-16 02:00:00,1.19655,1.19946,1.19503,1.19811,30733,2,0
86,2021-04-19 02:00:00,1.19722,1.20478,1.19425,1.20354,36392,2,0
87,2021-04-20 02:00:00,1.2038,1.20797,1.20224,1.20357,37462,2,0
88,2021-04-21 02:00:00,1.20354,1.20436,1.19985,1.20347,31267,2,0
89,2021-04-22 02:00:00,1.20346,1.20694,1.19936,1.20157,38664,2,0
90,2021-04-23 02:00:00,1.20145,1.20999,1.20128,1.20975,32440,2,0
91,2021-04-26 02:00:00,1.20909,1.21168,1.20612,1.2092,31826,2,0
92,2021-04-27 02:00:00,1.20811,1.20922,1.20567,1.20908,29827,2,0
93,2021-04-28 02:00:00,1.2088700000000001,1.21346,1.20561,1.21237,38068,2,0
94,2021-04-29 02:00:00,1.21221,1.21498,1.2102,1.21206,35034,2,0
95,2021-04-30 02:00:00,1.21156,1.21264,1.2016499999999999,1.20208,35366,2,0
96,2021-05-03 02:00:00,1.20302,1.20758,1.2013,1.20622,29208,2,0
97,2021-05-04 02:00:00,1.2064,1.20648,1.19991,1.20151,37569,2,0
98,2021-05-05 02:00:00,1.20101,1.20266,1.1985999999999999,1.20041,31708,2,0
99,2021-05-06 02:00:00,1.20038,1.20716,1.19931,1.20632,35015,2,0
100,2021-05-07 02:00:00,1.2065,1.21713,1.20528,1.21619,43663,2,0
101,2021-05-10 02:00:00,1.21572,1.21781,1.21279,1.21279,40177,2,0
102,2021-05-11 02:00:00,1.21284,1.21815,1.2123,1.2147999999999999,44484,2,0
103,2021-05-12 02:00:00,1.21452,1.21519,1.20655,1.2073,51901,2,0
104,2021-05-13 02:00:00,1.20675,1.2106,1.20514,1.20794,51521,2,0
105,2021-05-14 02:00:00,1.20781,1.21476,1.20697,1.21444,41510,2,0
106,2021-05-17 02:00:00,1.21426,1.2168700000000001,1.2126000000000001,1.21518,36886,2,0
107,2021-05-18 02:00:00,1.21472,1.22338,1.21462,1.22226,36764,2,0
108,2021-05-19 02:00:00,1.22213,1.2245300000000001,1.21599,1.2175799999999999,52432,2,0
109,2021-05-20 02:00:00,1.21629,1.22289,1.21627,1.22258,36671,2,0
110,2021-05-21 02:00:00,1.22268,1.22396,1.21608,1.21805,40938,2,0
111,2021-05-24 02:00:00,1.21701,1.22299,1.21701,1.22157,37826,2,0
112,2021-05-25 02:00:00,1.22106,1.22663,1.22094,1.22492,41919,2,0
113,2021-05-26 02:00:00,1.2245300000000001,1.22628,1.21818,1.21923,38959,2,0
114,2021-05-27 02:00:00,1.21908,1.2215,1.21751,1.21929,39492,2,0
115,2021-05-28 02:00:00,1.21902,1.22048,1.21326,1.21894,40977,2,0
116,2021-05-31 02:00:00,1.21986,1.22313,1.21833,1.22255,22913,2,0
117,2021-06-01 02:00:00,1.22232,1.22543,1.22119,1.22119,37567,2,0
118,2021-06-02 02:00:00,1.2212,1.22265,1.21641,1.2209699999999999,39805,2,0
119,2021-06-03 02:00:00,1.22109,1.22141,1.21182,1.21278,41804,2,0
120,2021-06-04 02:00:00,1.21258,1.21854,1.21039,1.21661,43088,2,0
121,2021-06-07 02:00:00,1.21593,1.22018,1.2145,1.21903,31630,2,0
122,2021-06-08 02:00:00,1.21889,1.21942,1.21643,1.21728,37643,2,0
123,2021-06-09 02:00:00,1.2172399999999999,1.22179,1.21711,1.2179,31655,2,0
